OBJECTID,Incident Name,Incident Type Category,Unique Fire Identifier,Daily Acres,Calculated Acres,Percent Contained,ICS209 Report Date Time,Fire Discovery Date Time,Discovery Acres,Point of Orgin County,Point of Orgin State,Cause,Cause General,Geographic Area Coordination Center,Total Incident Personnel,Incident Mgmt Organization,Mgmt Complexity,Residences Destroyed,Other Structures Destroyed,Injuries,Fatalities,Predominant Fuel Group,Predominant Fuel Model,Primary Fuel Model,Containment Date Time,Control Date Time,Final Acres,Is Valid,Fire Out Date Time,Modified On Date Time,Incident Type Kind,IRWIN ID,Global ID,Days Since Modified On Date,Days Since Fire Discovery Date,x,y
120,RX KIS 12,RX,2024-LAKIF-000049,869,,,,2/21/2024 3:30:00 PM,0.1,Natchitoches,US-LA,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/21/2024 10:51:38 PM,FI,a79e07b0-38ce-416c-b10f-d485bcbfdbb4,185eb23a-04a5-483f-bb35-2e1b59e143bf,10,10,-93.132556,31.5235950000001
121,Loggers Lake RX,RX,2024-MOMTF-000067,1783,,,,2/21/2024 1:33:00 PM,1783,Shannon,US-MO,Undetermined,,EACC,,,,,,,,,,,,,,1,,2/21/2024 11:20:00 PM,FI,ea00a421-65b8-4636-beb0-c19f8d18dd41,d1d86dd0-2638-49f7-af00-5dc880fb66db,10,11,-91.2633,37.4003000000001
122,Wolf Mountain RX,RX,2024-MOMTF-000068,3198,,,,2/21/2024 1:36:56 PM,3198,Ripley,US-MO,Undetermined,,EACC,,,,,,,,,,,,,,1,,2/21/2024 11:20:06 PM,FI,61e4319e-228c-4d3c-a97d-37ab11ab0047,170e8487-7330-4d55-8168-754d630a5bd8,10,11,-91.1011999999999,36.6524000000001
123,APQ Recreation Area 2 Rx 0221,RX,2024-FLAPQ-000604,721,,,,2/21/2024 2:43:30 PM,,Polk,US-FL,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/21/2024 11:35:59 PM,FI,a0a20bad-56b9-4153-8089-37b9ce6c585a,7a4291bc-e3e5-4495-89e8-9f8faed0883f,10,10,-81.367493,27.7043140000001
124,APQ Kissimmee Pasture Rx 0221,RX,2024-FLAPQ-000605,485,,,,2/21/2024 2:44:40 PM,,Polk,US-FL,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/28/2024 3:08:09 PM,FI,3f0f9a1f-e57e-41e2-8367-117a25f8f7dc,f3ca0710-72f4-425e-8f36-9fc1244cf65f,3,10,-81.3503499999999,27.64948
125,RX Winn 61,RX,2024-LAKIF-000050,980,,,,2/21/2024 5:39:00 PM,0.1,Winn,US-LA,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/22/2024 12:13:53 AM,FI,3b33b94a-8d17-40d1-bada-4891ee985626,4379d643-3eed-479b-9235-3ac2a1d67c02,10,10,-92.858889,31.9133330000001
126,RADAR,WF,2024-FLFLS-241400096,1300,,100,3/2/2024 4:05:07 AM,2/20/2024 11:00:00 PM,,Polk,US-FL,Human,,SACC,2,Type 5 IC,Type 5 Incident,,,,,,,Southern Rough,,,,1,,3/2/2024 4:05:07 AM,FI,8918779b-11b1-4d7a-aacb-1f7e20a9e9ab,f92e2919-7aba-4f90-b2d9-854720ef425e,1,11,-81.9638889,27.7111111
127,CountyLine Fire,WF,2024-OKOKS-240129,263,,100,2/23/2024 9:11:43 PM,2/21/2024 11:15:00 PM,,Latimer,US-OK,Human,,SACC,4,Type 4 IC,Type 4 Incident,,,,,,,Timber (Grass and Understory),,,,1,,2/23/2024 9:11:44 PM,FI,6fd1a46f-9b9e-4c63-a146-16458b6cce04,031b8740-a3d4-43c4-b2c8-95fd89f842b5,8,10,-94.9424999999999,34.9913889000001
128,Spring Creek Road Fire,WF,2024-OKOKS-240115,575,,100,2/27/2024 7:34:17 PM,2/21/2024 8:15:00 PM,,Johnston,US-OK,Human,,SACC,14,Type 5 IC,Type 5 Incident,,,,,,,Timber (Grass and Understory),,,,1,,2/27/2024 7:34:17 PM,FI,00aa3dd2-ff9a-44a1-a40b-102d1c60015f,07f738c2-556e-41bb-9757-95f9f91bd1f0,4,10,-96.7355555999999,34.4400000000001
129,RX OKSQR-FY24-HFR-RX-SANDTOWN BOTTOM,RX,2024-OKSQR-000361,3980,,,,2/22/2024 1:12:33 PM,,Sequoyah,US-OK,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/23/2024 1:07:25 AM,FI,3e195e69-339b-4a8d-884d-0ec242d84e59,4cff1fc4-aa43-48d4-858b-63106eb4a8d0,9,10,-94.9958359999999,35.4406250000001
130,RX Panther Creek,RX,2024-AROUF-000362,1496,,,,2/22/2024 1:16:52 PM,,McCurtain,US-OK,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/22/2024 10:40:03 PM,FI,01d3a556-241c-4cc4-9081-ac7cf47e8ac2,93d9812a-d0f5-46cf-8edf-c9c898260522,9,10,-94.7053329999999,34.3666170000001
131,RX South Waldron Ridge,RX,2024-AROUF-000360,1085,,,,2/22/2024 1:06:31 PM,,Scott,US-AR,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/23/2024 12:24:59 AM,FI,ea2bfc5e-6121-4b41-b22b-1b2c9e2adb37,01ccbaed-360c-4852-bb79-4d4bb20f27a0,9,10,-93.954344,34.8745420000001
132,RX Irons Fork 2,RX,2024-AROUF-000363,287,,,,2/22/2024 1:21:32 PM,,Polk,US-AR,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/22/2024 9:37:40 PM,FI,370e8fdd-9a47-4e40-a266-305e36033ed0,58ba343e-6240-4eb1-ac0f-b330aa0209ac,9,10,-94.135,34.6444440000001
133,Rx Cherokee 0113,RX,2024-TXTXS-240113,111,,0,,2/19/2024 2:00:00 PM,111,Cherokee,US-TX,Undetermined,,SACC,,,Type 1 Prescribed Fire,0,,,,,,,,,,1,,2/22/2024 2:15:37 PM,FI,64cabc22-e7a0-417e-99df-0a8b384014e8,97edd1d7-2d9d-462c-86b5-24e3cd4ae5ad,9,12,-94.9161,31.533281
134,Rx Montgomery 0140,RX,2024-TXTXS-240140,150,,0,,2/20/2024 1:25:00 PM,150,Montgomery,US-TX,Undetermined,,SACC,,,Type 1 Prescribed Fire,0,,,,,,,,,,1,,2/22/2024 2:16:11 PM,FI,8c8a311e-af75-4058-886b-a505acf904b2,85c80ec1-15d6-4ab5-9561-55035f9a31cc,9,12,-95.6572222199999,30.2833333300001
135,Rx Harrison 0114,RX,2024-TXTXS-240114,219,,0,,2/19/2024 2:12:00 PM,219,Harrison,US-TX,Undetermined,,SACC,,,Type 1 Prescribed Fire,0,,,,,,,,,,1,,2/22/2024 2:16:12 PM,FI,1e0abbda-fcfd-40bf-86df-1243fb60862d,ed8af72c-0a12-45fd-9044-a81a75aafbed,9,12,-94.61027778,32.71555556
136,Rx Liberty 0141,RX,2024-TXTXS-240141,200,,0,,2/20/2024 1:25:00 PM,200,Liberty,US-TX,Undetermined,,SACC,,,Type 1 Prescribed Fire,0,,,,,,,,,,1,,2/22/2024 2:16:52 PM,FI,0aa2f131-54cc-44b9-ae65-228d16976743,72760ebe-9c4e-45a7-a795-485b4ac4fbca,9,12,-94.954,30.212
137,Rx Anderson 0159,RX,2024-TXTXS-240159,250,,0,,2/20/2024 3:02:00 PM,250,Anderson,US-TX,Undetermined,,SACC,,,Type 1 Prescribed Fire,0,,,,,,,,,,1,,2/22/2024 2:17:33 PM,FI,6e1964de-aab4-437c-8b3e-eff1a9db053b,54408e51-3dda-4e74-a051-b9bea6646fa3,9,11,-95.90194444,31.96555556
